"","id","name","latitude","longitude","category"
"81","URGZtJhOCrbJ8-RkLvslOg","Firewaters",0.4481509,-80.0040779,"American (New), Restaurants"
"82","yfuoL_w76WFVHcGJbw0IIg","Nick's Place",0.4846476,-80.0354937,"Pizza, Restaurants"
"83","YUZVBdGmagwXV-yOhR-1GQ","Miller's Seafood House",0.4851129,-80.0416964,"Seafood, Restaurants"
"84","OIL-eZX8d10jgWPLW-E7zA","Chubby's Pizza & Hoagies Northside",0.4810824,-80.0414027,"Pizza, Restaurants"
"120","FtjvnLhh51ZBYEpKAARaFQ","Soho",0.4483207,-80.0043186,"American (New), Restaurants"
"228","rm1hBa1HPcLhUSwuincX2Q","Historic Sunnyledge Hotel of Shadyside",0.4477839,-79.9373637,"Food, Tea Rooms, Bed & Breakfast, Event Planning & Services, Hotels & Travel, Hotels, Restaurants"
"70","Z7HNl4Gz00cA0_wt0S-vSw","BreadWorks Bakery",0.4621686,-80.0190648,"Bakeries, Food, Restaurants"
"243","rEpubmz577MOhpDmWPH1uw","Thai Place Restaurant",0.4870754,-79.8857543,"Thai, Restaurants"
"85","PSlOtPIo28BvWOzdLmRRRQ","Knossos Gyros & Sis-Kabob",0.3959923,-80.0350352,"Polish, Greek, Restaurants"
"86","wan0X-oHpLgGTPXqaICZCw","Huddle",0.409125,-80.024957,"Bars, Nightlife, Restaurants"
"87","QnyzlVMyx0Exri-Lay10cA","Sushi Three",0.388562,-80.049448,"Sushi Bars, Japanese, Restaurants"
"88","81sqVj0xHyJXGYT0ip5fmQ","Green Garden",0.38892,-80.049921,"Chinese, Restaurants"
"89","m61vZsAxmTEq3uiCjFjM8Q","Tom's Diner",0.3942631,-80.0352133,"Diners, Restaurants"
"90","93UCt9OgWYmypZCpXtUu8g","Beto's Pizza & Restaurant",0.412659,-80.030322,"Pizza, Restaurants"
"91","ORTRrw3ClZ0Ld0LgY1H_5g","Eat'n Park Restaurant",0.395871,-80.033585,"Fast Food, American (Traditional), Restaurants"
"92","9aw0t0rlACKkMaxsX0KlKA","Dairy Queen",0.3958828,-80.0466445,"Food, Ice Cream & Frozen Yogurt, Fast Food, Restaurants"
"93","5Udv4CASAXB2eH66TefWPQ","Cain's Saloon",0.3897336,-80.0409102,"American (New), Restaurants"
"94","2Igiyhi82R8_QaaPplRmCw","The Dor-Stop Restaurant",0.3959206,-80.0348023,"Breakfast & Brunch, Diners, Restaurants"
"95","Cex2R008tMFg8R5fAtf77w","Campiti's Don Pizzeria",0.3966306,-80.0357966,"Pizza, Restaurants"
"96","n7G2XFGvmS3duDJ4AzjKiQ","Namaste India",0.420335,-80.030114,"Indian, Restaurants"
"97","8tBfgYCI6Fz9xrSYCYCYXA","Maharaja Restaurant",0.420335,-80.030114,"Indian, Restaurants"
"98","Tb7hQ37UFA2QFaMwjFieQw","Arby's",0.414716,-80.03063,"Fast Food, Restaurants"
"99","qemCNgjeYGcFsRwxW9x4xw","Bado's Pizza Grill And Ale House",0.3886105,-80.0499034,"Delis, Pizza, Restaurants"
"100","iudRNo5Q8W7firUBYJEqQQ","Little Nipper's Pizza",0.3886666,-80.049779,"Pizza, Restaurants"
"201","dpRsK3JyaD3GKorVWzQUmA","Wendy's",0.400323,-80.024316,"Burgers, Fast Food, Restaurants"
"202","aIzx9R8MN9VgSSJt1jy5TA","Carhops Sub Shop",0.399184,-80.025491,"Sandwiches, Restaurants"
"203","vWnwaD-kykqiEc2Q0hbYsw","McDonald's",0.3989335,-80.0266142,"Burgers, Fast Food, Restaurants"
"101","2X5G4Ujq0s4Wfn4TC7gX0g","D's Six Pax & Dogz",0.432022,-79.893834,"Pubs, Bars, Hot Dogs, Nightlife, Restaurants"
"102","XQ7elqSFIRogvqpiTZz-Wg","Dunning's Grill",0.432599,-79.894243,"American (Traditional), Restaurants"
"103","JL5B_s1EoN4zIru4JSw4Qg","Taco Bell",0.427135,-79.890649,"Fast Food, Mexican, Tex-Mex, Restaurants"
"104","IafkUjO5CiXAu9LfB4_Sgg","Rudy Martino Original House of Submarines",0.421259,-79.890285,"Diners, Restaurants"
"105","OS1fGOcx_Erie5gujWIFNQ","China House II",0.422307,-79.8893217,"Chinese, Restaurants"
"106","DzOPHyrG2XuVqKEvHCnN7w","Triangle Bar & Grill",0.4175696,-79.8879525,"Sandwiches, Restaurants"
"107","nqRNOug4OMrYTTZg-qLxXA","Veltre's Pizza",0.4209717,-79.886521,"Pizza, Restaurants"
"108","K8Ebs8G1rwc3DBdznHvDxg","Wendy's",0.4254343,-79.8886201,"Burgers, Fast Food, Restaurants"
"109","h3la53L9-OX_HlfeAySh0Q","Applebee's",0.4273028,-79.8886844,"Bars, American (Traditional), Burgers, Nightlife, Sports Bars, Restaurants"
"138","pvGT62T6Ci1LKOS9DL42pg","Peppi's",0.4370256,-80.0005877,"Sandwiches, Restaurants"
"147","l-OmDgEd4QkZpyXVpkp2yA","Villa Reale Pizzeria & Restaurant",0.4421419,-79.996955,"Pizza, Restaurants"
"155","Bza-l75OiKcMRmTYILpyfQ","Wiener World",0.442234452,-79.99713541,"Hot Dogs, Restaurants"
"159","AH1PrZQDIdjpKgy1z8XxUg","Zorba's Gyros",0.4387143,-79.9994904,"Greek, Sandwiches, Salad, Restaurants"
"10","wqu7ILomIOPSduRwoWp4AQ","Denny's",0.391255,-80.073426,"Breakfast & Brunch, American (Traditional), Restaurants"
"110","1vQLTKwmcmZXtNzfKEvMmA","Benihana",0.392287,-80.070269,"Sushi Bars, Japanese, Restaurants"
"111","hhNlQWaKqGbMPoeZHoL-IQ","Mad Mex",0.3906976,-80.070806,"Mexican, Tex-Mex, Restaurants"
"112","SgQYRICpMdWCmY7wM2Cmcw","Max & Erma's",0.3940168,-80.0629702,"Burgers, Sandwiches, Salad, Restaurants"
"113","uwiD9jxs09xxXG0by_xKuA","Bruegger's Bagels",0.392551,-80.061579,"Food, Sandwiches, Bagels, Breakfast & Brunch, Restaurants"
"114","mrbfnIXD5U4pMxuZgKedOw","Sichuan House Chinese Restaurant",0.392484,-80.065824,"Chinese, Restaurants"
"115","sNmQJQWEVGheCnw5Tf4Phg","Panera Bread",0.3939568,-80.0660407,"Soup, Sandwiches, Salad, Restaurants"
"116","jrSGpWnVJy8jqgN6XSC7Nw","Aracri's Greentree Inn",0.416975,-80.045368,"American (New), Restaurants"
"117","KZXtzoI84iI1CEcAnD7OPA","Vincent's of Greentree",0.4210254,-80.0500506,"Italian, Pizza, Restaurants"
"118","zpNGtjBlIkDq_PLGSCPlAg","Olive Garden Italian Restaurant",0.4198341,-80.0456525,"Restaurants, Italian"
"119","ZS7-I04iDm4oRP_GJsJqrA","Boston Market",0.418106,-80.045902,"Event Planning & Services, American (Traditional), Caterers, Comfort Food, Restaurants"
"245","PFAOxw4Gl8gm7PGWvohCWg","Applebee's",0.3906976,-80.070806,"Bars, American (Traditional), Burgers, Nightlife, Sports Bars, Restaurants"
"121","z4cCguoHdU48pj6sXMIzqg","Original Fish Market",0.4441681,-79.994852,"Seafood, Restaurants"
"122","sbTF0cLKZH6_BP8BLARVDg","Bossa Nova",0.4439388,-80.0006057,"Tapas Bars, Bars, Nightlife, Restaurants"
"123","OxIeMVcop5oxBUWANi-1Rw","Olive Or Twist",0.4429278,-80.0025539,"Bars, Cocktail Bars, Nightlife, Lounges, American (New), Restaurants"
"124","imzKM9-mgN1Yk_RIXx3IgA","Sunseri Jimmy & Nino Co",0.450964,-79.984628,"Food, Ethnic Food, Specialty Food, Restaurants, Italian"
"125","IEHaU93HpEbdUO4z4bKzDw","Jo Jo's Restaurant",0.4540368,-79.9814643,"American (Traditional), Restaurants"
"126","NeUf9FyCCIN4MEseNyqkXQ","Primanti Bros",0.440287,-80.002585,"Chicken Wings, Sandwiches, Restaurants"
"127","JcP-IIrZkW_Yyv4a0yLRCw","Monte Cello's Downtown",0.4430725,-79.9973279,"Pizza, Italian, Sandwiches, Restaurants"
"128","4LcFKTr6Ah87VcxW2z5e6w","McDonald's",0.4422762,-79.9989518,"Burgers, Fast Food, Restaurants"
"129","buVALudg30kgkDusqB3yJw","Reyna Foods",0.4514856,-79.9834035,"Food, Grocery, Mexican, Restaurants"
"130","wHi8ODv7TGmeUB02XoX-mA","Roland's Seafood Grill",0.4505742,-79.9842886,"Seafood, Restaurants"
"131","WXpi9z1bqF9raZSW8z70Ow","Salonika Gyros",0.444021,-80.0027249,"Greek, Mediterranean, Restaurants"
"132","j7kgLc4Uys_sb-H7_Velcg","Brown Bag Delis",0.444318,-79.994009,"Delis, Restaurants, Event Planning & Services, Caterers"
"133","DhDNNHZtaBxYNSqJz64ixg","La Gondola Pizzeria & Restaurant",0.4401562,-80.0024696,"Restaurants, Italian"
"134","PxP19Rb88OQKiSMl2oWNsg","Christos",0.4440173,-80.0027621,"Mediterranean, Restaurants"
"135","9mwShpTgZofOujt4JfyGmw","Spaghetti Warehouse",0.455916,-79.979271,"Restaurants, Italian"
"136","90Fqfzd8zD9AuuNBSv9lAg","Morton's The Steakhouse",0.4423373,-80.0007482,"Steakhouses, Restaurants"
"137","KEzIorUdFjqCuxbRxKPghA","Mamma Lucia Pizza",0.4403687,-80.0009183,"Pizza, Restaurants"
"139","OT3yVpDrDVITDCIYox8d9A","Buon Giorno Cafe",0.43866,-80.005135,"Restaurants, Italian"
"140","8AskFIgGxqNb8RbcDCAfmA","Madonna's Restaurant",0.439590245,-79.9992013,"Mexican, Restaurants"
"141","A2XkbJ07hrR80t0EFgLikQ","Smithfield Cafe",0.442558,-79.997214,"American (Traditional), Restaurants"
"142","L5387MoRyx9orlRyYfCSPA","Andy's Sushi Bar",0.450111,-79.9858749,"Sushi Bars, Restaurants"
"143","dHDi4wCcjsOR6vcZ8oOIoA","Sushi Kim Restaurant",0.4464777,-79.9916741,"Korean, Sushi Bars, Restaurants"
"144","41CXLCeB8z2oNdIOvnrzIA","Redfin Blues",0.4639257,-79.9776291,"Seafood, Restaurants"
"145","l2gPB9mqiHSbpwSUa7zrjg","F. Tambellini Ristorante",0.443577,-80.000162,"Restaurants, Italian"
"146","gfpl_GyyY5uj6zJnIdzImQ","Caffe Amante",0.442228,-80.003107,"Cafes, Restaurants"
"148","0FgwBx7pgmNdUtsd_T8UYQ","Ruth's Chris Steak House",0.4392798,-80.0037919,"Steakhouses, Restaurants"
"149","SzHTdZR3yY1WBYUxkVxmUQ","Papa J's Centro",0.438857,-80.003085,"Restaurants, Italian"
"150","xgcZN3F2f9LxLASQK_xzhw","Smallman Street Deli",0.4580709,-79.975178,"Delis, Restaurants"
"151","_aGVicux2dJm9sqzLSCJtg","Subway",0.4422522,-79.9997165,"Fast Food, Sandwiches, Restaurants"
"152","uUorjstNslr3gkIsVGtQAg","Max & Erma's Restaurants",0.4431765,-80.0042813,"American (Traditional), Restaurants"
"153","GSiHJG8LqTn5ZQAY1r9q9w","Liang's Hunan Restaurant",0.4434132,-79.9961509,"Chinese, Restaurants"
"154","0Lsd35rHY6UtPFHjjxJ1LA","1902 Tavern",0.4410988,-80.0028187,"American (Traditional), Restaurants"
"157","1E53rS8afK2jiLod8Jwy7A","Fu Lai Chinese Restaurant",0.4428479,-80.0031124,"Chinese, Restaurants"
"158","j0uzPYXgu-hmkvuGnj-B1w","Mark's Grille & Catering",0.4440672,-79.9973744,"Caterers, American (Traditional), Event Planning & Services, Restaurants"
"160","XmdTkxKyJd7TuDLoiic1kg","Lidia's Pittsburgh",0.4484631,-79.9894086,"Restaurants, Italian"
"161","HDTv_rnmSL8AQ04_zTWARA","Sports Rock Cafe",0.4484631,-79.9894086,"American (Traditional), Restaurants"
"162","nBl_NeArpL08MpoghDiA_A","Ephesus Mediterranean Kitchen",0.439839112,-80.00288626,"Pizza, Restaurants"
"163","J011r7mUV1QhgLJ7GkrtMw","Peppi's",0.450237,-79.985665,"Burgers, Restaurants"
"165","SvoJ3Y3uqDfB4iGUaWXh8Q","Pizza Parma",0.44389,-79.9985899,"Pizza, Restaurants"
"166","6xEl2PDJulIp1PfWqa7-aA","Mullaneys Harp and Fiddle",0.4534271,-79.9809286,"Pubs, Irish, Nightlife, Bars, Restaurants"
"167","GQloL8yRHymE0SGZq-B0zQ","",0.4520306,-79.9825405,"Vietnamese, Restaurants"
"168","Lm_mR5xDF91OeZw97ch41g","The Lemon Grass Cafe",0.4440318,-80.0027681,"Thai, Restaurants"
"169","aj4XHn7jZ48euP4g8ape-Q","San Remo Pizza",0.4380683,-80.0043039,"Pizza, Restaurants"
"170","KnlNwiIELDWAR686Bk2WJg","China House",0.462753,-79.951722,"Chinese, Restaurants"
"171","XzaJf6WzpU7RsXTXzx72Xg","Cafe Sam",0.456227,-79.940241,"American (New), Restaurants"
"172","PTS4MxQel-xzj5qWxVn3LQ","Angelo's Pizzeria",0.4607719,-79.9479211,"Pizza, Restaurants"
"174","bDK_jzy3Shx7jfn8_plNoA","Pizza Italia",0.46266,-79.951539,"Pizza, Restaurants"
"175","PhIGoo9g6GBrqgH_6yZXXQ","People's Indian Restaurant",0.464984,-79.9412119,"Indian, Restaurants"
"176","uBW3PIKqc-_eyG1_vdJn1w","",0.4654249,-79.9445074,"Vietnamese, Restaurants"
"177","DsxLIr-b6WlDn9YNsVBu_A","Groceria Italiana",0.4618603,-79.948546,"Food, Grocery, Delis, Restaurants"
"178","FD6OocZdFUfE2J5H0WN4fA","Armand's Bar",0.461494,-79.948153,"Nightlife, Bars, Sandwiches, Restaurants"
"179","LN3OCT1xOedbf65xKzFSNw","Taste of India",0.4657149,-79.953504,"Indian, Restaurants"
"180","tQpYnf3P3Q_OQLYYJvlV-A","Nico's Recovery Room",0.4636982,-79.9489828,"Bars, American (Traditional), Nightlife, Restaurants"
"181","KH6stvNdq_aV0HvKw8P5yA","Donatelli's Italian Food Center, Inc",0.462158,-79.949333,"Food, Grocery, Delis, Restaurants"
"182","34TBKRXYq1JHe4kYlHW2Eg","Seven Cee's",0.461657,-79.94854,"Restaurants"
"183","nUISXnW2Jo9ovnoFBIUY_Q","D'Amico's",0.4612318,-79.9484943,"Restaurants, Italian"
"184","dxCqGkhtXq-9fYEsX7Mf6Q","",0.4653036,-79.9559332,"Vietnamese, Restaurants"
"186","YTqSkgOiiI9HG3hNH7ovfg","Lombardozzi's Restaurant",0.4606393,-79.9471799,"Seafood, Restaurants, Italian"
"187","vgXE1I7c9ElcfYyZfQiN1Q","Tessaro's",0.462787,-79.950641,"Burgers, American (Traditional), Steakhouses, Restaurants"
"189","3zgswf_NfBJpeAoWeTkgMA","Silky's Pub",0.458267,-79.942274,"Pubs, Bars, American (Traditional), Nightlife, Restaurants"
"190","uOwuJJhGaiAzuaDY7-o14g","Boston Market",0.455568,-79.941471,"Event Planning & Services, American (Traditional), Caterers, Comfort Food, Restaurants"
"191","7XXmky6YYjsvKFwho_eavg","Lot 17 Bar and Grill",0.46257,-79.950128,"Bars, American (Traditional), Nightlife, Restaurants"
"192","o_wRqOpli9kyZGXlJtLLdA","The Bloomfield Sandwich Shop",0.462632,-79.950246,"Breakfast & Brunch, Sandwiches, Restaurants"
"193","5MChfa-jZfMo3vBpolkSbw","Alexander's Italian Bistro",0.458576,-79.9435413,"Restaurants, Italian"
"195","sxeuOMBRllOHXJTaUlI9kQ","Thai Cuisine",0.462419,-79.9498459,"Thai, Restaurants"
"196","ptmsW2SSeFD2I6vspJs0lQ","The Getaway Caf\u00e9",0.384633,-80.015649,"American (New), Restaurants"
"197","r8jeeS3k_diihMDSu9IjlA","Fiori's Pizzaria",0.405245,-80.018538,"Italian, Pizza, Restaurants"
"198","cH8I7JgPXcrcutT1a3YrjQ","It's Greek To Me",0.3919796,-80.0173011,"Greek, Restaurants"
"199","dQjaHoo89bLymdMm4S5_1g","Moonlite Cafe",0.3954635,-80.0229025,"Restaurants, Italian"
"204","T4D7wX6GuCYChwRmser-0A","The Tong Garden",0.391756,-80.017768,"Chinese, Restaurants"
"207","hbFCv2Rginf9zjai-lKUNg","Sesame Inn Chinese Restaurant",0.379654906,-80.04486434,"Chinese, Restaurants"
"208","vs3UrHaSnzFOxmFU2UAfxQ","China Gate",0.357621,-80.0503804,"Chinese, Restaurants"
"209","6-rJjW6ITl5o_FliiNgZRA","Il Pizzaiolo",0.380192,-80.044459,"Italian, Pizza, Restaurants"
"210","mPlWLIA4pkHMRtlQDm6UyQ","Little Tokyo",0.3819791,-80.0441649,"Sushi Bars, Japanese, Restaurants"
"211","sa3xqElJEv97MazozLeszw","Mineo's Pizza House",0.3798453,-80.0447818,"Pizza, Restaurants"
"212","MkrQV_nyxyC1F5ut5KxDMQ","Panera Bread",0.357621,-80.0503804,"Soup, Sandwiches, Salad, Restaurants"
"213","jJfTh2O3M2Q716akd9Dr9w","The Saloon of Mt. Lebanon",0.3820875,-80.0443309,"Bars, American (Traditional), Burgers, Nightlife, Sports Bars, Restaurants"
"47","Ts4xsKPU7FNPPZRj-nRjIg","Buffalo Blues",0.4583902,-79.9255146,"Bars, Restaurants, Sports Bars, Barbeque, Nightlife"
"54","lHP5STO7aomlEQixH8m1aA","Pizza Perfectta",0.4572935,-79.9252056,"Pizza, Restaurants"
"56","l_Wey2YC6NvVUIH8vTygGg","Cafe Zinho",0.457835,-79.9275276,"Portuguese, Mediterranean, Restaurants"
"214","9SPwF-vRgtuHxciFxv5YLA","Soba",0.457126617,-79.92961121,"Asian Fusion, Restaurants"
"215","Cy9XgM3ZG2jZ1ganvolb6Q","Umi",0.4569371,-79.9297,"Sushi Bars, Japanese, Restaurants"
"216","rgmptwPbBH1wLpiBHcbIhA","Harris Grill",0.455955,-79.931338,"Bars, American (Traditional), Nightlife, Restaurants"
"217","i_nkxbd7feg44QkdbG05UA","The Elbow Room",0.451653861,-79.93271784,"American (New), Restaurants"
"218","vSZDiKiF8vf9zt_BcDL7GQ","William Penn Tavern",0.451445221,-79.93373255,"Bars, Restaurants, American (Traditional), Sports Bars, Nightlife"
"219","DkX3YoxhH4uADsgVgQThew","Cappy's Cafe",0.451079,-79.9346715,"Bars, American (Traditional), Nightlife, Restaurants"
"220","sQWSHCIH_HUT4HUXaxDaBA","Bruegger's Bagels",0.4507601,-79.9357368,"Food, Sandwiches, Bagels, Breakfast & Brunch, Restaurants"
"221","rUQfZOengMpXFkLvJrNJ3g","The Inn on Negley",0.453359,-79.931454,"Food, Tea Rooms, Breakfast & Brunch, Bed & Breakfast, Hotels & Travel, Restaurants"
"222","Oq5MyNxNi-xuXdPOWR9O_g","Doc's Place",0.4509479,-79.9338609,"Bars, Pizza, Nightlife, Restaurants"
"223","xgK6AAhJ-cYBUCSaLzgTuw","Girasole Restaurant",0.4512206,-79.9346006,"Restaurants, Italian"
"224","Z-BI5HJmC2HcpiVuXwVM3A","LaFeria",0.4515825,-79.9328523,"Peruvian, Latin American, Restaurants"
"225","kxZIebwbpe_ddry6EKMdCg","Village Pizza Bar & Grill",0.450502,-79.935149,"Pizza, Restaurants"
"226","TxKmAsKQjND5vbhBdUSyIA","P&G's Pamela's Diner",0.451723,-79.932833,"Breakfast & Brunch, Restaurants"
"227","cmGR1HS9ms233roSllcglw","Crepes Parisiennes",0.4516614,-79.9333455,"Breakfast & Brunch, Creperies, French, Restaurants"
"229","mXHBxHrAJPnPWnm_OKuZTQ","Wendy's",0.456954,-79.937464,"Burgers, Fast Food, Restaurants"
"230","Q9BXMPu2HnRDMq9X_2rHrQ","China Palace",0.450866,-79.933919,"Food Delivery Services, Food, Caterers, Event Planning & Services, Asian Fusion, Restaurants"
"231","jeS38QWMVkA6S-4lMi1Frg","Walnut Grill",0.450952,-79.933592,"American (New), Restaurants"
"200","UjJMQguryo1jypomvOCZgg","Bellisario's Pizza Palace",0.3832941,-80.0159995,"Pizza, Restaurants"
"205","cESul2ojJOjadz-7BKB5eg","Amels",0.3830261,-80.0153449,"Middle Eastern, Mediterranean, Restaurants"
"232","cwyq1QIa4fNISUap4PCs_A","Castle Place",0.369991,-80.034378,"Chinese, Restaurants"
"233","MFtTSa1OTC0rFxBxpXzKfg","The Pizza Co",0.3606021,-80.0286937,"Pizza, Restaurants"
"234","q5g_zeAdwsZQp0p9GPnTJw","Nick's Pizza",0.3690921,-80.0352804,"Pizza, Restaurants"
"235","lI-LWQETbT8RivEHt-7jJg","China Village",0.369099,-80.013523,"Chinese, Restaurants"
"236","jVVyiaDle64frINmX2hgqw","Jb's Pizza Place",0.38223,-79.997251,"Pizza, Restaurants"
"237","7QBJDNVH6VPAStSvOM_lZA","Silver Palace Chinese Restaurant",0.377426,-80.003797,"Chinese, Restaurants"
"238","Ln34kwDUNZPLhVhUqauLWQ","Calabria's",0.373453,-80.006247,"Restaurants, Italian"
"239","hxWwXE1mqNuSghYBr5bLWg","Danny's Pizza",0.3500069,-79.9763367,"Pizza, Restaurants"
"240","WrP8KeKTlWcjqQPj2DJKGQ","Thee Olde Place Inn",0.351916,-79.9610019,"American (New), Diners, Restaurants"
"242","dwz55gqPZwSBD74yFFb27g","Tai Pei",0.487652926,-79.88061636,"Sushi Bars, Taiwanese, Chinese, Restaurants"
"244","ufyh6h4GsR-RYY2lC_Iz7w","Starlite Lounge",0.493969,-79.860283,"Bars, American (Traditional), Nightlife, Lounges, Restaurants"
"246","Z6q8yxApM9wdnddzjcSUgQ","New Dragon Chinese Restaurant",0.376268,-80.069056,"Chinese, Restaurants"
"2675","tpnEAM1bfOpz79Lvf6SmvA","Barb's Country Kitchen",0.474478,-79.9579,"Breakfast & Brunch, Diners, Restaurants"
"2676","mTVwpWwSPojpbShANWKfig","New Way Gourmet",0.4646974,-79.9602274,"Mediterranean, Restaurants"
"2677","Oi8IOoJOEX9JZYK65fUrrA","Hambone's",0.470474,-79.960431,"Pubs, Bars, American (New), Nightlife, Restaurants"
