ID,Stars,Cluster,Distance
bDK_jzy3Shx7jfn8_plNoA,4,15,2.143075427
PhIGoo9g6GBrqgH_6yZXXQ,4,2,2.865977544
uBW3PIKqc-_eyG1_vdJn1w,4,11,0.961895523
DsxLIr-b6WlDn9YNsVBu_A,4.5,15,2.192601522
FD6OocZdFUfE2J5H0WN4fA,3.5,11,3.111547271
LN3OCT1xOedbf65xKzFSNw,4,2,3.907865193
tQpYnf3P3Q_OQLYYJvlV-A,3.5,2,2.03935528
KH6stvNdq_aV0HvKw8P5yA,3.5,2,1.950787072
34TBKRXYq1JHe4kYlHW2Eg,4,13,0.450711685
nUISXnW2Jo9ovnoFBIUY_Q,2.5,2,3.795197491
dxCqGkhtXq-9fYEsX7Mf6Q,4,11,3.007585746
#NAME?,3.5,11,4.736865777
YTqSkgOiiI9HG3hNH7ovfg,3.5,26,1.979027091
vgXE1I7c9ElcfYyZfQiN1Q,4,15,3.057436821
#NAME?,3,2,2.790545592
3zgswf_NfBJpeAoWeTkgMA,4,2,2.638743188
uOwuJJhGaiAzuaDY7-o14g,3.5,2,2.668019268
7XXmky6YYjsvKFwho_eavg,3.5,2,2.594123778
o_wRqOpli9kyZGXlJtLLdA,4,13,0.450711685
5MChfa-jZfMo3vBpolkSbw,3.5,2,3.761475959
sxeuOMBRllOHXJTaUlI9kQ,4,2,4.064759776
ptmsW2SSeFD2I6vspJs0lQ,3,26,2.151918969
r8jeeS3k_diihMDSu9IjlA,4,2,3.563003818
cH8I7JgPXcrcutT1a3YrjQ,4.5,2,2.175945169
dQjaHoo89bLymdMm4S5_1g,4,2,2.684531151
T4D7wX6GuCYChwRmser-0A,4,11,1.286244189
hbFCv2Rginf9zjai-lKUNg,4,2,4.582645554
vs3UrHaSnzFOxmFU2UAfxQ,2.5,23,3.260192633
6-rJjW6ITl5o_FliiNgZRA,4,2,2.684531151
mPlWLIA4pkHMRtlQDm6UyQ,4,2,2.684531151
sa3xqElJEv97MazozLeszw,4,11,3.389756827
MkrQV_nyxyC1F5ut5KxDMQ,3.5,2,2.672649675
jJfTh2O3M2Q716akd9Dr9w,3.5,2,1.943200264
Ts4xsKPU7FNPPZRj-nRjIg,3,2,2.965512516
lHP5STO7aomlEQixH8m1aA,4,15,2.613035833
l_Wey2YC6NvVUIH8vTygGg,4,11,3.11246168
9SPwF-vRgtuHxciFxv5YLA,4,9,1.804653189
Cy9XgM3ZG2jZ1ganvolb6Q,4,9,2.475943118
rgmptwPbBH1wLpiBHcbIhA,3.5,2,2.594123778
i_nkxbd7feg44QkdbG05UA,3,2,4.823397644
vSZDiKiF8vf9zt_BcDL7GQ,3.5,23,2.431424821
DkX3YoxhH4uADsgVgQThew,3,2,2.815376618
sQWSHCIH_HUT4HUXaxDaBA,3,2,2.815376618
rUQfZOengMpXFkLvJrNJ3g,4.5,26,4.549625016
Oq5MyNxNi-xuXdPOWR9O_g,3,2,3.648787497
xgK6AAhJ-cYBUCSaLzgTuw,3.5,15,3.962321166
Z-BI5HJmC2HcpiVuXwVM3A,4,15,3.199138726
kxZIebwbpe_ddry6EKMdCg,4,15,2.625245477
TxKmAsKQjND5vbhBdUSyIA,4,11,0.961895523
cmGR1HS9ms233roSllcglw,4,13,2.383196778
mXHBxHrAJPnPWnm_OKuZTQ,2.5,14,2.132428899
Q9BXMPu2HnRDMq9X_2rHrQ,3,4,3.064523123
jeS38QWMVkA6S-4lMi1Frg,3,2,4.113044649
UjJMQguryo1jypomvOCZgg,3.5,26,3.017878714
cESul2ojJOjadz-7BKB5eg,4,14,2.500059728
cwyq1QIa4fNISUap4PCs_A,3.5,15,2.49727427
MFtTSa1OTC0rFxBxpXzKfg,3.5,15,2.214054576
q5g_zeAdwsZQp0p9GPnTJw,4.5,26,3.024747686
lI-LWQETbT8RivEHt-7jJg,4.5,11,1.444238748
jVVyiaDle64frINmX2hgqw,2.5,13,3.747102277
7QBJDNVH6VPAStSvOM_lZA,4,14,4.458088202
Ln34kwDUNZPLhVhUqauLWQ,3,25,3.46844162
hxWwXE1mqNuSghYBr5bLWg,4,15,1.713306234
WrP8KeKTlWcjqQPj2DJKGQ,4,17,2.335366913
dwz55gqPZwSBD74yFFb27g,3.5,26,2.748519118
ufyh6h4GsR-RYY2lC_Iz7w,2.5,15,2.331509392
Z6q8yxApM9wdnddzjcSUgQ,2.5,18,2.676101791
tpnEAM1bfOpz79Lvf6SmvA,4,2,3.563003818
mTVwpWwSPojpbShANWKfig,4.5,2,2.239670563
Oi8IOoJOEX9JZYK65fUrrA,3.5,2,3.212697552
RC0j-hO6kaYO067845BSzg,2.5,2,4.396506659
lVq2xqwCnccZ3oI5CdAD5Q,3.5,2,2.03935528
T4_LFnGNke1yk3k2MJjiqA,4.5,14,3.804455437
kE8_tdip6tvt2jXp-KdwBw,3.5,2,2.819635852
6fpd8iXiUypI7eVx-hJhMA,4,11,0.961895523
QHI_sBKISzQsDMp2cXBXjQ,3.5,2,3.530922643
7eL9P3f3P2AmVceWnSVfiw,4.5,2,3.178680718
sF8rL9XOz4v48YdTucaBGQ,4.5,2,2.868126093
5K6TGz2q_3w2jGnuAjdi_Q,3.5,2,2.668019268
Qa2nW-WGvu6P7eccNSj2Nw,3,11,1.804336869
xvGD0kqem6jJnbMs8_W4Uw,4,2,3.399430368
5IbZ0LjSydLAfB9NOyYOIQ,3,2,2.141038522
rellBaGc6G4mgcqSACGL5w,3,25,2.233402308
rRLLhMPgBXrtTDvOeWHZuQ,4,2,1.861680911
hIA5NB8hGOoe3hUUHqg5xA,3.5,11,1.140465602
T4A-I02jrqPZtW2icgHJPg,3,2,3.544397337
5eCbn-WUr2YIQODHfVP7Sw,3.5,17,1.78246619
247GgHoZztRikNUeKjkEmQ,3.5,1,3.242177414
Bkvi-6YPbeaEYS6sNSZZ0w,2.5,14,4.6543081
HlZkklWH0SygopMt_48IIQ,4,13,1.534116884
ufIN_oA285Zivd-4szJKxQ,4.5,13,1.046670867
qM1kLyu2xAiFZdgnbTyHjA,4,2,2.710333615
CNUmBfQsHs25VnPUqvvM8Q,4.5,24,1.472684098
Rno_Ql5EgidmyZGfTxNcTQ,2.5,15,2.544488595
BrPTaXUVu-VH-PDFFTrmCQ,3.5,6,1.090674532
Nqw610-DAmucQvlHZvrMkg,4.5,11,0.919782689
ehmtix6CHtneuYXzbrSwYw,4,14,1.512945961
VLXFrRkD7g2eLjloFQcKfg,4,2,2.094409571
7GDXpAS4LUSFmzmmm3EtuQ,2,14,2.627481949
XdDSKZ_1I2qP8QHrrwmz5Q,3,15,3.523696456
m_nunIk_4iHZM39N6ejsyg,2.5,17,1.83373445
59jTyOmW7rRBRfVG7Uftnw,3.5,2,2.721451364
qUJbCo-xJ9A4nE6nXMOwIg,4,17,2.235943589
p_wNn2SZ8iFtpVbetmUA_w,4,2,2.710333615
3KCL_Bu8mOk-h7Bp-IXL8Q,4.5,13,3.59234361
JQ3kJQNnX8XNbdvcbjiiKQ,3.5,14,4.346489729
6Ro5tqafcr2MZori8DIYnw,3,26,2.400773525
uPl2nKYL0uNqBqqeF2Rx7Q,1.5,22,2.820453639
gOQT85vsrCc_bIKaG4fGYg,3.5,26,2.234361192
qnObfZkpvnsZv1l8zScrdA,3.5,2,2.842605984
C2BferG4f-WQJQuTvyRzlA,3.5,26,1.979027091
ZyqqJDBt9H5CibVtZ9diFA,3.5,15,2.214054576
qMcgzoz_dFD8XHPNUjeK0Q,4,14,2.493767965
vTnvE0fsPP4r1Eni7gufrQ,2.5,14,2.000395623
L7d7iEiubIHC9RQHFNEMog,4,2,1.944006375
C6sCJIY6TFOdfTU_aazGhw,4,15,1.713306234
TEKCIR7IZWOdQ2ULc3Xyfg,4,2,4.064759776
dVf7896SPwE8jEenEhI6Pg,4,14,2.550930902
1HejWsAvJ7pg3n6hUCObmA,4,26,3.08253613
DhwPdZ-67IgFc_XcVS30BA,4,11,3.142888391
wMzo5ooEfJBZ6NtpIAfCZg,4,11,3.241494357
rM2u39FtdD7WZPaTgmRS9Q,4,17,2.235943589
cFpc6oLcO08mWJHCRE6S-A,4,2,1.935062926
g5U8omEQje5lRx4EherR0w,4,11,2.965015927
fnKjsT1rQKS9x0Zw35TwAw,3,9,4.345023928
lr4Zti9WOHXWHu8Yp3zZkg,4,2,2.857090664
wgSCc7Ut2C4OkmvoeSLIrQ,3.5,2,2.644375053
ey2TkiJL-5lIwEeFD7ZhhQ,3.5,2,2.890266013
AwQwf4mbaJfE4F5Tk2KQRg,3.5,2,2.594123778
_WaHLgLzALd2iThQAhC-sQ,3.5,26,2.043571373
gHBf6Ve-jxMBZQE3Z1mviQ,4,1,3.090447566
9oImwXLAn-DFppBrfbmkLg,4,12,1.347254748
AcjaEcJkm0Fnld-obqFtqQ,2.5,25,2.657970097
63M2e_wSmQ8GbLDUau5K6Q,3.5,14,2.408150341
mGNJlqLu2wQRyKnh7yEViw,2,17,2.838166382
fvhWfSPlx5J_3F-ScLpvXQ,3.5,7,4.03096998
drJpzE3cxE0MQUq7gkzRvg,4,2,2.047617859
CiG5CvHxYQl5DZ704a4viA,3.5,2,2.713313233
q95WN1MTI-PFM_NVEfHhyA,3,2,2.790545592
rroEVCHOX6sjZaAYTk6pSw,4.5,15,2.364613841
lv2DSTFBOxefUNLbiWexow,3.5,2,3.365790448
U35V81BeSi8NUHA2zxp71w,3,2,2.228674191
8bzvvfrE0r71ZrxOxAgpaw,3.5,2,4.083825809
Dq6g0ubf267tWRU4BSk44A,2.5,2,3.31976295
Zww-ckcRf0fvu_yKGFZvPw,3,2,3.643546816
BxjO2aY6l4uOVN9EiEVptQ,3.5,2,2.914444525
6eU9yPTTbf8PS8fMc4nmCg,3.5,2,2.641803552
c4AWh6H_hI6FkiWAmdrQvQ,3.5,2,3.761475959
yAC6PHPOOqlEvrzyVjItkw,2.5,15,2.060459051
3WgM6mvYrPDxGJ5fADSkUw,3.5,2,1.943200264
B-DLw09xS5mgAC0lvlGUxw,3.5,2,1.986693455
drhpbx_wR08pvCUmyqPhkA,2.5,15,3.67891926
0H8Xo8XtA6GkSI2hAF0LKw,4,2,3.832318814
cll90LXLWNpljIDQB8BeKA,3,2,3.648787497
ojlQtj_2W24-IZGqkBVsmg,2,14,3.186289884
6sJSxhTfN5YLFXKicXRljw,3.5,15,2.294111336
w3Ad4ue8SMtbVi7hnIS2MQ,3.5,14,3.807826229
9Cx8HT4LLis_2OvcFZpEmw,5,15,2.680582287
DOpzRvtCjJCZuCUmrrA3nA,3.5,2,3.522253921
nyS42UJ54_YUKxBB83dfDQ,3,23,3.925317243
PxN0tiGWY-ApyP9N0TgRmA,3,15,2.360742804
vtODRhBYQfr614DwMesBKg,4,2,2.956311029
Q2iZ7kT5SpiRir7iommz1g,3,4,1.565350665
RVAtmwbwbjLYEDDtvf1PYg,3,2,4.298948309
PQdMkFgdSyF-2jK8WhQu-g,3,2,2.195361262
n_vYHn44QfjFkTW7gS5LaQ,4,2,2.71824287
o6EK8ULSL5j7mXg5XnmVtg,3,23,3.540375123
LCybuUjDVdYQAdfeM6dISw,2.5,2,3.163356581
Xu5azmrPOMCgNC-fd9eA,3.5,15,2.912467325
vuXWx7PoWLw4FKBR_pzEOQ,4,13,1.534116884
aUb1ulqB4B1y6kQuqRV3cg,3,2,4.029241896
lB4l0M9jSXWIz_VYjbzlJg,4.5,11,1.648665239
jczJ4bsO8_VwbFjXkN396Q,3,15,2.147170669
R8AgqxryV5iLk45lvIPozQ,3,2,2.228674191
BFG2ed8LgIo5TNsrwgxu8g,3,17,2.022693891
QTxEdBIM9VXcyBnK3ucKUg,2.5,15,2.87068331
FZBF8EptLV5WT60g-JIw_Q,3,2,3.375899937
7TRfGMRjNEduIu7NT-B8Tg,4.5,2,2.91156742
s413DgLtzhUSfs0t5USPFg,2.5,14,1.961724859
HE_rlRkdfWU4lIqHyEj2WA,4,2,2.550435203
lkEGzvHiURrlzB9ZsJNi5w,4.5,26,2.608735626
Ca-003BAqWW-IEsFvjlY9g,4,2,2.865977544
KLkT6MEf33cidi1so_TVsg,4.5,2,2.376916726
q_2HooHFCE9wAwmXQPkuyg,4,2,2.000901986
C2Q4Eogai7W4grmvXZFmBw,2,15,3.700364859
khmDwXbcUxeU2ymjju_Jrw,2,4,3.980681923
KT8KJ4zt-IPqpLzACdpEZg,1.5,17,3.092929327
J4SEWnsJVvU9SWgkIvnldA,3.5,2,2.892954974
rPwuIBv_mz1O_yI5R-VJ7Q,4,2,3.378894202
62EQGCWUVIRixQD_q72V0Q,3.5,15,3.2737822
Z94doPdgyDOgjtYUVRBNjQ,4,15,3.370323645
7JYif-4RQOMWrUkoemuytA,3,2,3.707352253
cKQn19-p4FtLIR4IaP6xuw,3,2,3.463721008
yDBfRK6lg23-4yKjwU0hHQ,4,2,1.935062926
QGWyhvvLjaT1Szw-segoOg,3,2,2.228674191
jpD9ONjJfx5ishYOx9vU0Q,4,11,0.988552378
1vK7gWQ_b5ehAyOidOsYtg,4,11,1.43987133
TYyW_pl7hgfUEMwxVwc4OQ,4,15,2.625245477
8q8GMsDPYp4JVdx6k-FeTA,3.5,2,4.554625242
EYjc27Vce4tX8IZzhWZUDw,3,15,1.77738794
gu9qDUz44-8H1vdq_MQymQ,4,2,2.000901986
pvmC7EaaSgA3aq-MAmPp3A,4,11,3.204734541
52CzJDb4EakSjEQOUys77Q,3.5,11,1.24955888
X_X5RHM5cJeO6n-84GMFHQ,3,17,1.689597478
1Kuuu75LVwr5-1OQ3Zv71w,3.5,2,2.03935528
UrQzDR-nEo5B-EGkSZuE9Q,2.5,2,3.347839221
atG_rkb3fONGcw4fupbY9g,3.5,2,3.909932322
0IKwgLg_UApkFzMCAaJ1Lw,4,11,0.961895523
PLPeY0cYisJXXUFyEfRzlg,3,17,1.58744383
ev4X3Tw8pqzOObv5nuIxWQ,3,2,2.892799803
EmHlwDc9RsK597NbJtyEmg,3.5,2,3.397021552
ad9b1c6iD2CrQFPX6HCvGQ,3.5,10,4.978194926
qCg90xkk0VgdNF6IirZEPA,3,2,4.521615727
#NAME?,3.5,14,3.757857584
0MmjeVacAd-Moe8CesiB_Q,4,7,1.297457907
vtcEXiQukuSzOMxyVxlh-Q,3.5,5,1.531059166
rDgiBah58fc6AfVD58m2mw,3,17,0.680893833
#NAME?,3,2,3.643546816
5Qa1bKl5BeXOC_6kZV7nBw,3,2,3.544397337
kiVnUirURYI91t9YY3nddQ,4,2,2.885514996
mbSIq0yerQhEUEFBB4pVGQ,3.5,20,1.047508674
sFWqH-VIfH3cKTKJ__qKQA,3,7,3.680958743
mnR9KualdR4VpDwd1oFa_A,3.5,13,2.432101099
aACX0qwz9gCm3ieEaQhyXg,3,23,3.479435432
aQExh8vKqh6PJoUZAzDSpg,3,13,2.150380767
tYi1AaABtF3jX1mUIMuYcQ,2.5,8,2.007076344
sh-VN4LKQ1IuJCe-_FJhuA,5,2,4.383641932
1u_8Lk1_0UsTmjW6b12bpw,3.5,7,1.525506285
dnN_tOhXC10km8Vuv1Ac0A,2.5,20,1.590206061
2Yv6Tgb5mpoEo3_EIpKs3g,3,7,3.945629183
YssP-_6iP0SLBsqUQGs6rQ,4,7,1.779889429
kiXE579k_sP6XCj_XUJc4g,3.5,7,1.994571448
NhA_Fg-0ywtg8ut2RjUo0w,2.5,18,2.351766809
tygo8BbCFwGFxIitgTp_zQ,4,7,2.141533922
4eRlRYQ4iBedD7Ymiuah7Q,2.5,7,2.053841622
2vp3ZAysnItVdkv_eX_ZvQ,4.5,11,0.958939742
l69zskvo5X2V9lxnINgXww,3,18,0.693155772
#NAME?,4,11,3.089206629
FnaWgExFsjWeekotG-_66g,2,17,2.54367337
FspJK0PqUm_0h6ionkT0Dg,3.5,14,1.257356384
Tq7ZVUvqRP7YPLwVfdKwTg,4,26,2.234651906
IS9ZqBV6R0olC_OYv-vGjQ,4,11,1.34557695
fHfKprgE_HqMcwxuZzBqLA,3.5,2,2.668019268
-23t2qOQWj8Kqp-Ijm1BQA,3,17,1.58744383
rQCQsKxkqfVTYU9wgzhVSQ,4.5,14,4.213356012
PvClFu-OG4-3mG1n6CjgPQ,4.5,13,1.887873097
44zt-uJPM4BGs46DaNO98Q,2.5,8,0.946144862
jzlTPQz28NGYsmAOlfIeDA,4.5,11,1.194408771
ppv7AJFnTxNGhlktLaCLiw,3,8,0.390313001
UmX2QDgm02TsWO1-d8elTQ,2,2,4.437732614
QXXkjR4cvN6zVuaUA-vL5w,3.5,17,1.78246619
FNvZnTpvLOcRKzNIQ6EqDg,3,17,2.022693891
-8wQB4T-cukbHZGO6etPMA,4,15,2.31288066
Alk2AVNg3wTrI4L1d-krZw,3.5,15,3.904968002
utIjhLQ4aowlreRuchFpBA,4.5,11,3.249920378
_0UC6YiwhkgLOJWxMmMQQQ,4,11,0.643893429
72EpENhhSayWYsF3XqEJ3w,4,2,2.047617859
LZghZl5RVTeR4p77UpXipg,1,22,3.292449113
raSItW2WYBeZyI_TT97A8g,4.5,2,3.077536876
mKEUpLDkL_SZvjI5Hc9gpw,4,14,2.493767965
PpPYKumy4syUJrxFpH1b5Q,4,14,1.416345863
qMWWQpMiMcV8jz_57cBB0w,4,2,2.000901986
qV5kmptGcVjqwSzbbjWxKA,4,5,1.10E-14
uC8nWYLTBtIc9p6JrcvgkQ,3.5,1,0.857970032
#NAME?,4,2,2.000901986
NS5m7kg9phWfjP27qmxgYA,2.5,2,4.605317556
cQk8pgpxC-9MzFJS7Zo45w,3.5,2,2.03935528
d6eqlH4tKE2VmiTPN6TOEw,3,17,1.58744383
jR7rDinCcHNZxl4jA0iKJQ,3.5,2,1.943200264
#NAME?,3.5,2,1.943200264
YeiH-kbGrwmIJlauSP_-dA,3.5,7,1.994571448
ezi5Nz0gT5lk0nW1KTiYnw,3,9,2.308240346
UrS9awRtye1YFlW5V1bWzw,4.5,2,2.294948895
FTpcA7yGp-qo2UxuqW0UDg,4.5,15,3.520011861
y_jsnI8NUThDecWmgL_soA,4,2,2.710333615
jZaHqpXJNey8QV_G0S3Fgw,2,7,2.724513231
